stn,time,fkl010z0,fkl010z1,dkl010z0,dkl010z1,fkl010z3
38,201906150700,5.9,7.3,246,10000000,7.1
38,201906150710,6.6,9.7,246,10000000,9.2
38,201906150720,5.5,10.1,257,10000000,9.9
38,201906150730,5.4,7.8,256,10000000,7.5
38,201906150740,4.7,8.2,257,10000000,7.5
38,201906150750,4.3,7.5,276,10000000,6.8
38,201906150800,3.6,6.9,278,10000000,6.4
38,201906150810,3.1,5.6,244,10000000,5.5
38,201906150820,4.2,7.0,267,10000000,6.8
38,201906150830,4.5,6.2,259,10000000,5.9
38,201906150840,2.6,4.2,263,10000000,4.1
38,201906150850,4.0,6.7,259,10000000,6.4
38,201906150900,2.9,5.1,258,10000000,5.0
38,201906150910,1.5,3.7,240,10000000,3.4
38,201906150920,2.4,4.7,271,10000000,4.3
38,201906150930,2.8,4.7,264,10000000,4.4
38,201906150940,2.1,4.4,263,10000000,4.1
38,201906150950,2.9,5.2,283,10000000,5.1
38,201906151000,1.0,2.6,240,10000000,2.4
38,201906151010,1.2,3.1,281,10000000,2.8
38,201906151020,0.9,2.9,341,10000000,2.8
38,201906151030,1.2,3.1,34,10000000,3.0
38,201906151040,1.6,3.3,286,10000000,3.0
38,201906151050,2.0,3.0,275,10000000,2.9
38,201906151100,1.2,2.6,280,10000000,2.6
38,201906151110,1.8,3.7,264,10000000,3.6
38,201906151120,1.2,3.0,279,10000000,2.8
38,201906151130,0.9,3.0,235,10000000,2.8
38,201906151140,0.9,2.8,130,10000000,2.6
38,201906151150,1.5,2.9,276,10000000,2.8
38,201906151200,1.6,3.6,5,10000000,3.3
38,201906151210,1.2,3.6,57,10000000,3.4
38,201906151220,1.2,3.1,211,10000000,2.9
38,201906151230,1.7,3.8,46,10000000,3.4
38,201906151240,0.8,2.8,18,10000000,2.5
38,201906151250,1.7,3.5,37,10000000,3.3
38,201906151300,1.4,3.3,46,10000000,2.9
38,201906151310,1.3,3.0,53,10000000,2.9
38,201906151320,1.1,2.5,4,10000000,2.3
38,201906151330,1.1,2.6,24,10000000,2.4
38,201906151340,1.6,5.3,47,10000000,4.7
38,201906151350,2.6,4.8,42,10000000,4.5
38,201906151400,3.2,5.6,35,10000000,5.2
38,201906151410,2.2,4.9,28,10000000,4.5
38,201906151420,2.5,4.3,22,10000000,3.8
38,201906151430,4.0,7.7,34,10000000,7.6
38,201906151440,4.9,8.0,35,10000000,7.2
38,201906151450,6.2,9.0,22,10000000,8.6
38,201906151500,6.4,9.2,18,10000000,8.7
38,201906151510,6.7,9.5,18,10000000,9.3
38,201906151520,4.1,8.8,360,10000000,8.6
38,201906151530,3.5,7.5,19,10000000,7.3
38,201906151540,5.7,9.7,347,10000000,9.4
38,201906151550,17.1,30.0,272,10000000,29.4
38,201906151600,19.8,30.2,247,10000000,29.5
38,201906151610,17.9,34.1,247,10000000,32.4
38,201906151620,16.0,29.3,249,10000000,28.7
38,201906151630,14.7,22.8,251,10000000,22.3
38,201906151640,14.1,23.8,248,10000000,23.1
38,201906151650,12.9,18.4,245,10000000,17.9
38,201906151700,12.6,21.0,250,10000000,19.6
38,201906151710,11.0,18.4,252,10000000,18.1
38,201906151720,9.5,16.6,235,10000000,15.8
38,201906151730,8.5,18.1,253,10000000,16.3
38,201906151740,10.7,15.9,255,10000000,15.2
38,201906151750,9.2,13.4,252,10000000,13.2
38,201906151800,7.5,12.6,251,10000000,12.1
38,201906151810,7.0,11.8,245,10000000,11.6
38,201906151820,7.5,12.1,239,10000000,11.7
38,201906151830,6.6,12.5,244,10000000,11.9
38,201906151840,6.8,13.4,251,10000000,12.0
38,201906151850,7.5,13.1,256,10000000,12.7
38,201906151900,8.8,14.5,258,10000000,13.5
38,201906151910,7.6,12.1,250,10000000,11.6
38,201906151920,6.3,12.0,255,10000000,10.7
38,201906151930,4.8,12.1,262,10000000,11.7
38,201906151940,5.6,10.8,266,10000000,10.3
38,201906151950,4.8,10.8,277,10000000,10.5
38,201906152000,4.4,9.1,271,10000000,8.8
38,201906152010,4.3,10.6,290,10000000,9.9
38,201906152020,5.9,10.8,273,10000000,9.7
38,201906152030,5.5,10.6,248,10000000,10.2
38,201906152040,6.8,10.3,253,10000000,9.7
38,201906152050,7.3,10.0,247,10000000,9.7
38,201906152100,8.2,10.1,245,10000000,9.5
38,201906152110,7.6,9.1,245,10000000,8.8
38,201906152120,6.8,8.7,242,10000000,8.0
38,201906152130,6.4,9.1,237,10000000,8.9
38,201906152140,5.1,8.8,248,10000000,8.4
38,201906152150,6.1,8.9,246,10000000,8.8
38,201906152200,5.8,8.7,252,10000000,8.6
38,201906152210,5.8,8.2,245,10000000,7.9
38,201906152220,5.0,6.8,243,10000000,6.6
38,201906152230,3.5,5.1,243,10000000,4.8
38,201906152240,3.1,4.5,244,10000000,4.4
38,201906152250,3.3,5.0,244,10000000,4.6
38,201906152300,3.2,6.6,243,10000000,6.2
38,201906152310,3.2,4.5,244,10000000,4.3
38,201906152320,3.7,4.7,244,10000000,4.5
38,201906152330,3.0,5.0,254,10000000,4.6
38,201906152340,2.9,4.5,252,10000000,4.3
38,201906152350,1.8,2.7,252,10000000,2.6
748,201906150000,4.2,8.0,239,10000000,7.7
748,201906150010,4.9,8.8,236,10000000,8.2
748,201906150020,4.4,8.6,231,10000000,8.0
748,201906150030,5.5,10.4,232,10000000,9.8
748,201906150040,4.8,10.0,221,10000000,9.2
748,201906150050,5.1,8.3,219,10000000,8.0
748,201906150100,5.3,8.8,223,10000000,8.1
748,201906150110,6.3,11.6,223,10000000,11.2
748,201906150120,6.0,12.2,232,10000000,11.4
748,201906150130,5.4,11.6,249,10000000,10.5
748,201906150140,5.4,9.4,251,10000000,8.8
748,201906150150,4.0,7.9,251,10000000,7.5
