   843	Cevio                    417 m a.s.l.	689688/ 130565
    87	Cimetta                 1661 m a.s.l.	704434/ 117458
    84	Locarno / Monti          367 m a.s.l.	704167/ 114317
   848	Monte Generoso          1600 m a.s.l.	722503/  87456
    47	Lugano                   273 m a.s.l.	717874/  95884
    52	Stabio                   351 m a.s.l.	716049/  77973
   571	Simplon-Dorf            1465 m a.s.l.	647683/ 116340
    23	Passo del Bernina       2260 m a.s.l.	798422/ 143020
    28	Poschiavo / Robbia      1078 m a.s.l.	801993/ 136249
  1118	Vicosoprano             1089 m a.s.l.	768485/ 135866
    24	Segl-Maria              1804 m a.s.l.	778575/ 144976
    74	Piz Corvatsch           3294 m a.s.l.	783155/ 143525
    29	Samedan                 1709 m a.s.l.	787250/ 155685
   606	Buffalora               1971 m a.s.l.	816493/ 170255
   863	Naluns / Schlivera      2380 m a.s.l.	815374/ 188987
    30	Scuol                   1304 m a.s.l.	817138/ 186393
    25	Sta. Maria, Val Müstair 1386 m a.s.l.	828861/ 165580
number of parameters  7
   197  wind direction; ten minutes mean  [�]
   196  Wind speed scalar; ten minutes mean  [m/s]
   101  Gust peak (one second); maximum  [m/s]
   733  Potential temperature 2 m above ground; current value  [�C]
    91  Air temperature 2 m above ground; current value  [�C]
   967  Pressure reduced to sea level according to standard atmosphere (QNH); current value  [hPa]
   194  Dew point 2 m above ground; current value  [�C]
